Ano,Estado,Mês,Número,Periodo
1998,Acre,Janeiro,0,011998
1999,Acre,Janeiro,0,011999
2000,Acre,Janeiro,0,012000
2001,Acre,Janeiro,0,012001
2002,Acre,Janeiro,0,012002
2003,Acre,Janeiro,10,012003
2004,Acre,Janeiro,0,012004
2005,Acre,Janeiro,12,012005
2006,Acre,Janeiro,4,012006
2007,Acre,Janeiro,0,012007
2008,Acre,Janeiro,0,012008
2009,Acre,Janeiro,0,012009
2010,Acre,Janeiro,1,012010
2011,Acre,Janeiro,0,012011
2012,Acre,Janeiro,0,012012
2013,Acre,Janeiro,0,012013
2014,Acre,Janeiro,0,012014
2015,Acre,Janeiro,1,012015
2016,Acre,Janeiro,12,012016
2017,Acre,Janeiro,0,012017
1998,Acre,Fevereiro,0,021998
1999,Acre,Fevereiro,0,021999
2000,Acre,Fevereiro,0,022000
2001,Acre,Fevereiro,0,022001
2002,Acre,Fevereiro,1,022002
2003,Acre,Fevereiro,0,022003
2004,Acre,Fevereiro,3,022004
2005,Acre,Fevereiro,0,022005
2006,Acre,Fevereiro,0,022006
2007,Acre,Fevereiro,5,022007
2008,Acre,Fevereiro,0,022008
2009,Acre,Fevereiro,2,022009
2010,Acre,Fevereiro,0,022010
2011,Acre,Fevereiro,0,022011
2012,Acre,Fevereiro,0,022012
2013,Acre,Fevereiro,0,022013
2014,Acre,Fevereiro,0,022014
2015,Acre,Fevereiro,2,022015
2016,Acre,Fevereiro,5,022016
2017,Acre,Fevereiro,1,022017
1998,Acre,Março,0,031998
1999,Acre,Março,0,031999
2000,Acre,Março,11,032000
2001,Acre,Março,0,032001
2002,Acre,Março,0,032002
2003,Acre,Março,0,032003
2004,Acre,Março,0,032004
2005,Acre,Março,3,032005
2006,Acre,Março,0,032006
2007,Acre,Março,2,032007
2008,Acre,Março,0,032008
2009,Acre,Março,1,032009
2010,Acre,Março,0,032010
2011,Acre,Março,0,032011
2012,Acre,Março,1,032012
2013,Acre,Março,2,032013
2014,Acre,Março,1,032014
2015,Acre,Março,2,032015
2016,Acre,Março,0,032016
2017,Acre,Março,0,032017
1998,Acre,Abril,0,041998
1999,Acre,Abril,0,041999
2000,Acre,Abril,1,042000
2001,Acre,Abril,0,042001
2002,Acre,Abril,0,042002
2003,Acre,Abril,1,042003
2004,Acre,Abril,2,042004
2005,Acre,Abril,1,042005
2006,Acre,Abril,0,042006
2007,Acre,Abril,0,042007
2008,Acre,Abril,0,042008
2009,Acre,Abril,0,042009
2010,Acre,Abril,3,042010
2011,Acre,Abril,2,042011
2012,Acre,Abril,1,042012
2013,Acre,Abril,19,042013
2014,Acre,Abril,7,042014
2015,Acre,Abril,3,042015
2016,Acre,Abril,0,042016
2017,Acre,Abril,1,042017
1998,Acre,Maio,0,051998
1999,Acre,Maio,0,051999
2000,Acre,Maio,1,052000
2001,Acre,Maio,0,052001
2002,Acre,Maio,0,052002
2003,Acre,Maio,6,052003
2004,Acre,Maio,7,052004
2005,Acre,Maio,2,052005
2006,Acre,Maio,8,052006
2007,Acre,Maio,1,052007
2008,Acre,Maio,0,052008
2009,Acre,Maio,3,052009
2010,Acre,Maio,9,052010
2011,Acre,Maio,3,052011
2012,Acre,Maio,3,052012
2013,Acre,Maio,4,052013
2014,Acre,Maio,1,052014
2015,Acre,Maio,2,052015
2016,Acre,Maio,21,052016
2017,Acre,Maio,10,052017
1998,Acre,Junho,3,061998
1999,Acre,Junho,0,061999
2000,Acre,Junho,1,062000
2001,Acre,Junho,1,062001
2002,Acre,Junho,0,062002
2003,Acre,Junho,0,062003
2004,Acre,Junho,5,062004
2005,Acre,Junho,27,062005
2006,Acre,Junho,1,062006
2007,Acre,Junho,4,062007
2008,Acre,Junho,0,062008
2009,Acre,Junho,0,062009
2010,Acre,Junho,1,062010
2011,Acre,Junho,10,062011
2012,Acre,Junho,7,062012
2013,Acre,Junho,8,062013
2014,Acre,Junho,17,062014
2015,Acre,Junho,40,062015
2016,Acre,Junho,87,062016
2017,Acre,Junho,45,062017
1998,Acre,Julho,37,071998
1999,Acre,Julho,1,071999
2000,Acre,Julho,1,072000
2001,Acre,Julho,3,072001
2002,Acre,Julho,39,072002
2003,Acre,Julho,168,072003
2004,Acre,Julho,42,072004
2005,Acre,Julho,368,072005
2006,Acre,Julho,33,072006
2007,Acre,Julho,29,072007
2008,Acre,Julho,41,072008
2009,Acre,Julho,31,072009
2010,Acre,Julho,126,072010
2011,Acre,Julho,93,072011
2012,Acre,Julho,71,072012
2013,Acre,Julho,54,072013
2014,Acre,Julho,60,072014
2015,Acre,Julho,109,072015
2016,Acre,Julho,533,072016
2017,Acre,Julho,457,072017
1998,Acre,Agosto,130,081998
1999,Acre,Agosto,63,081999
2000,Acre,Agosto,136,082000
2001,Acre,Agosto,396,082001
2002,Acre,Agosto,728,082002
2003,Acre,Agosto,1976,082003
2004,Acre,Agosto,645,082004
2005,Acre,Agosto,4198,082005
2006,Acre,Agosto,839,082006
2007,Acre,Agosto,960,082007
2008,Acre,Agosto,445,082008
2009,Acre,Agosto,194,082009
2010,Acre,Agosto,1682,082010
2011,Acre,Agosto,425,082011
2012,Acre,Agosto,739,082012
2013,Acre,Agosto,679,082013
2014,Acre,Agosto,1100,082014
2015,Acre,Agosto,1397,082015
2016,Acre,Agosto,2188,082016
2017,Acre,Agosto,1493,082017
1998,Acre,Setembro,509,091998
1999,Acre,Setembro,209,091999
2000,Acre,Setembro,265,092000
2001,Acre,Setembro,290,092001
2002,Acre,Setembro,1949,092002
2003,Acre,Setembro,3942,092003
2004,Acre,Setembro,1978,092004
2005,Acre,Setembro,4253,092005
2006,Acre,Setembro,2370,092006
2007,Acre,Setembro,2080,092007
2008,Acre,Setembro,1666,092008
2009,Acre,Setembro,1265,092009
2010,Acre,Setembro,2531,092010
2011,Acre,Setembro,1204,092011
2012,Acre,Setembro,1996,092012
2013,Acre,Setembro,2136,092013
2014,Acre,Setembro,2175,092014
2015,Acre,Setembro,2928,092015
2016,Acre,Setembro,3586,092016
2017,Acre,Setembro,3429,092017
1998,Acre,Outubro,44,101998
1999,Acre,Outubro,60,101999
2000,Acre,Outubro,18,102000
2001,Acre,Outubro,137,102001
2002,Acre,Outubro,687,102002
2003,Acre,Outubro,740,102003
2004,Acre,Outubro,461,102004
2005,Acre,Outubro,547,102005
2006,Acre,Outubro,316,102006
2007,Acre,Outubro,203,102007
2008,Acre,Outubro,652,102008
2009,Acre,Outubro,565,102009
2010,Acre,Outubro,292,102010
2011,Acre,Outubro,97,102011
2012,Acre,Outubro,348,102012
2013,Acre,Outubro,258,102013
2014,Acre,Outubro,406,102014
2015,Acre,Outubro,905,102015
2016,Acre,Outubro,509,102016
2017,Acre,Outubro,1508,102017
1998,Acre,Novembro,0,111998
1999,Acre,Novembro,0,111999
2000,Acre,Novembro,0,112000
2001,Acre,Novembro,1,112001
2002,Acre,Novembro,86,112002
2003,Acre,Novembro,15,112003
2004,Acre,Novembro,10,112004
2005,Acre,Novembro,14,112005
2006,Acre,Novembro,18,112006
2007,Acre,Novembro,7,112007
2008,Acre,Novembro,4,112008
2009,Acre,Novembro,33,112009
2010,Acre,Novembro,39,112010
2011,Acre,Novembro,74,112011
2012,Acre,Novembro,13,112012
2013,Acre,Novembro,79,112013
2014,Acre,Novembro,56,112014
2015,Acre,Novembro,115,112015
2016,Acre,Novembro,46,112016
2017,Acre,Novembro,98,112017
1998,Acre,Dezembro,7,121998
1999,Acre,Dezembro,0,121999
2000,Acre,Dezembro,0,122000
2001,Acre,Dezembro,0,122001
2002,Acre,Dezembro,1,122002
2003,Acre,Dezembro,1,122003
2004,Acre,Dezembro,7,122004
2005,Acre,Dezembro,2,122005
2006,Acre,Dezembro,0,122006
2007,Acre,Dezembro,0,122007
2008,Acre,Dezembro,0,122008
2009,Acre,Dezembro,1,122009
2010,Acre,Dezembro,0,122010
2011,Acre,Dezembro,4,122011
2012,Acre,Dezembro,1,122012
2013,Acre,Dezembro,3,122013
2014,Acre,Dezembro,6,122014
2015,Acre,Dezembro,8,122015
2016,Acre,Dezembro,6,122016
1998,Alagoas,Janeiro,0,011998
1999,Alagoas,Janeiro,58,011999
2000,Alagoas,Janeiro,11,012000
2001,Alagoas,Janeiro,5,012001
2002,Alagoas,Janeiro,12,012002
2003,Alagoas,Janeiro,150,012003
2004,Alagoas,Janeiro,9,012004
2005,Alagoas,Janeiro,83,012005
2006,Alagoas,Janeiro,29,012006
2007,Alagoas,Janeiro,33,012007
2008,Alagoas,Janeiro,55,012008
2009,Alagoas,Janeiro,104,012009
2010,Alagoas,Janeiro,23,012010
2011,Alagoas,Janeiro,41,012011
2012,Alagoas,Janeiro,36,012012
2013,Alagoas,Janeiro,49,012013
2014,Alagoas,Janeiro,54,012014
2015,Alagoas,Janeiro,81,012015
2016,Alagoas,Janeiro,24,012016
2017,Alagoas,Janeiro,38,012017
2017,Alagoas,Janeiro,38,012017
1998,Alagoas,Fevereiro,0,021998
1999,Alagoas,Fevereiro,20,021999
2000,Alagoas,Fevereiro,16,022000
2001,Alagoas,Fevereiro,4,022001
2002,Alagoas,Fevereiro,15,022002
2003,Alagoas,Fevereiro,33,022003
2004,Alagoas,Fevereiro,7,022004
2005,Alagoas,Fevereiro,31,022005
2006,Alagoas,Fevereiro,14,022006
2007,Alagoas,Fevereiro,28,022007
2008,Alagoas,Fevereiro,74,022008
2009,Alagoas,Fevereiro,32,022009
2010,Alagoas,Fevereiro,26,022010
2011,Alagoas,Fevereiro,33,022011
2012,Alagoas,Fevereiro,41,022012
2013,Alagoas,Fevereiro,19,022013
2014,Alagoas,Fevereiro,29,022014
2015,Alagoas,Fevereiro,46,022015
2016,Alagoas,Fevereiro,14,022016
2017,Alagoas,Fevereiro,21,022017
1998,Alagoas,Março,0,031998
1999,Alagoas,Março,52,031999
2000,Alagoas,Março,32,032000
2001,Alagoas,Março,0,032001
2002,Alagoas,Março,27,032002
2003,Alagoas,Março,15,032003
2004,Alagoas,Março,16,032004
2005,Alagoas,Março,35,032005
2006,Alagoas,Março,37,032006
2007,Alagoas,Março,7,032007
2008,Alagoas,Março,31,032008
2009,Alagoas,Março,31,032009
2010,Alagoas,Março,70,032010
2011,Alagoas,Março,34,032011
2012,Alagoas,Março,44,032012
2013,Alagoas,Março,31,032013
2014,Alagoas,Março,28,032014
2015,Alagoas,Março,32,032015
2016,Alagoas,Março,9,032016
2017,Alagoas,Março,23,032017
1998,Alagoas,Abril,0,041998
1999,Alagoas,Abril,4,041999
2000,Alagoas,Abril,20,042000
2001,Alagoas,Abril,0,042001
2002,Alagoas,Abril,6,042002
2003,Alagoas,Abril,20,042003
2004,Alagoas,Abril,6,042004
2005,Alagoas,Abril,1,042005
2006,Alagoas,Abril,2,042006
2007,Alagoas,Abril,1,042007
2008,Alagoas,Abril,18,042008
2009,Alagoas,Abril,5,042009
2010,Alagoas,Abril,3,042010
2011,Alagoas,Abril,17,042011
2012,Alagoas,Abril,18,042012
2013,Alagoas,Abril,25,042013
2014,Alagoas,Abril,16,042014
2015,Alagoas,Abril,63,042015
2016,Alagoas,Abril,13,042016
2017,Alagoas,Abril,7,042017
1998,Alagoas,Maio,0,051998
1999,Alagoas,Maio,1,051999
2000,Alagoas,Maio,1,052000
2001,Alagoas,Maio,2,052001
2002,Alagoas,Maio,1,052002
2003,Alagoas,Maio,1,052003
2004,Alagoas,Maio,3,052004
2005,Alagoas,Maio,0,052005
2006,Alagoas,Maio,0,052006
2007,Alagoas,Maio,0,052007
2008,Alagoas,Maio,0,052008
2009,Alagoas,Maio,0,052009
2010,Alagoas,Maio,0,052010
2011,Alagoas,Maio,0,052011
2012,Alagoas,Maio,21,052012
2013,Alagoas,Maio,2,052013
2014,Alagoas,Maio,1,052014
2015,Alagoas,Maio,18,052015
2016,Alagoas,Maio,4,052016
2017,Alagoas,Maio,1,052017
1998,Alagoas,Junho,0,061998
1999,Alagoas,Junho,0,061999
2000,Alagoas,Junho,0,062000
2001,Alagoas,Junho,2,062001
2002,Alagoas,Junho,0,062002
2003,Alagoas,Junho,0,062003
2004,Alagoas,Junho,0,062004
2005,Alagoas,Junho,0,062005
2006,Alagoas,Junho,0,062006
2007,Alagoas,Junho,0,062007
2008,Alagoas,Junho,0,062008
2009,Alagoas,Junho,0,062009
2010,Alagoas,Junho,0,062010
2011,Alagoas,Junho,2,062011
2012,Alagoas,Junho,4,062012
2013,Alagoas,Junho,1,062013
2014,Alagoas,Junho,2,062014
2015,Alagoas,Junho,2,062015
2016,Alagoas,Junho,5,062016
2017,Alagoas,Junho,2,062017
1998,Alagoas,Julho,0,071998
1999,Alagoas,Julho,0,071999
2000,Alagoas,Julho,0,072000
2001,Alagoas,Julho,0,072001
2002,Alagoas,Julho,5,072002
2003,Alagoas,Julho,0,072003
2004,Alagoas,Julho,0,072004
2005,Alagoas,Julho,0,072005
2006,Alagoas,Julho,0,072006
2007,Alagoas,Julho,0,072007
2008,Alagoas,Julho,0,072008
2009,Alagoas,Julho,0,072009
2010,Alagoas,Julho,2,072010
2011,Alagoas,Julho,0,072011
2012,Alagoas,Julho,0,072012
2013,Alagoas,Julho,0,072013
2014,Alagoas,Julho,1,072014
2015,Alagoas,Julho,0,072015
2016,Alagoas,Julho,3,072016
2017,Alagoas,Julho,0,072017
1998,Alagoas,Agosto,1,081998
1999,Alagoas,Agosto,3,081999
2000,Alagoas,Agosto,4,082000
2001,Alagoas,Agosto,1,082001
2002,Alagoas,Agosto,3,082002
2003,Alagoas,Agosto,2,082003
2004,Alagoas,Agosto,2,082004
2005,Alagoas,Agosto,2,082005
2006,Alagoas,Agosto,1,082006
2007,Alagoas,Agosto,3,082007
2008,Alagoas,Agosto,1,082008
2009,Alagoas,Agosto,0,082009
2010,Alagoas,Agosto,1,082010
2011,Alagoas,Agosto,4,082011
2012,Alagoas,Agosto,0,082012
2013,Alagoas,Agosto,0,082013
2014,Alagoas,Agosto,3,082014
2015,Alagoas,Agosto,3,082015
2016,Alagoas,Agosto,5,082016
2017,Alagoas,Agosto,1,082017
1998,Alagoas,Setembro,14,091998
1999,Alagoas,Setembro,3,091999
2000,Alagoas,Setembro,22,092000
2001,Alagoas,Setembro,5,092001
2002,Alagoas,Setembro,14,092002
2003,Alagoas,Setembro,8,092003
2004,Alagoas,Setembro,5,092004
2005,Alagoas,Setembro,7,092005
2006,Alagoas,Setembro,4,092006
2007,Alagoas,Setembro,2,092007
2008,Alagoas,Setembro,9,092008
2009,Alagoas,Setembro,13,092009
2010,Alagoas,Setembro,5,092010
2011,Alagoas,Setembro,5,092011
2012,Alagoas,Setembro,6,092012
2013,Alagoas,Setembro,4,092013
2014,Alagoas,Setembro,11,092014
2015,Alagoas,Setembro,7,092015
2016,Alagoas,Setembro,18,092016
2017,Alagoas,Setembro,4,092017
1998,Alagoas,Outubro,20,101998
1999,Alagoas,Outubro,4,101999
2000,Alagoas,Outubro,13,102000
2001,Alagoas,Outubro,15,102001
2002,Alagoas,Outubro,30,102002
2003,Alagoas,Outubro,10,102003
2004,Alagoas,Outubro,12,102004
2005,Alagoas,Outubro,17,102005
2006,Alagoas,Outubro,32,102006
2007,Alagoas,Outubro,6,102007
2008,Alagoas,Outubro,18,102008
2009,Alagoas,Outubro,30,102009
2010,Alagoas,Outubro,16,102010
2011,Alagoas,Outubro,23,102011
2012,Alagoas,Outubro,28,102012
2013,Alagoas,Outubro,25,102013
2014,Alagoas,Outubro,7,102014
2015,Alagoas,Outubro,40,102015
2016,Alagoas,Outubro,74,102016
2017,Alagoas,Outubro,14,102017
1998,Alagoas,Novembro,19,111998
1999,Alagoas,Novembro,15,111999
2000,Alagoas,Novembro,2,112000
2001,Alagoas,Novembro,22,112001
2002,Alagoas,Novembro,50,112002
2003,Alagoas,Novembro,17,112003
2004,Alagoas,Novembro,28,112004
2005,Alagoas,Novembro,25,112005
2006,Alagoas,Novembro,12,112006
2007,Alagoas,Novembro,15,112007
2008,Alagoas,Novembro,37,112008
2009,Alagoas,Novembro,55,112009
2010,Alagoas,Novembro,31,112010
2011,Alagoas,Novembro,23,112011
2012,Alagoas,Novembro,95,112012
2013,Alagoas,Novembro,10,112013
2014,Alagoas,Novembro,14,112014
2015,Alagoas,Novembro,162,112015
2016,Alagoas,Novembro,76,112016
2017,Alagoas,Novembro,10,112017
1998,Alagoas,Dezembro,32,121998
1999,Alagoas,Dezembro,12,121999
2000,Alagoas,Dezembro,2,122000
2001,Alagoas,Dezembro,30,122001
2002,Alagoas,Dezembro,95,122002
2003,Alagoas,Dezembro,43,122003
2004,Alagoas,Dezembro,71,122004
2005,Alagoas,Dezembro,16,122005
2006,Alagoas,Dezembro,30,122006
2007,Alagoas,Dezembro,33,122007
2008,Alagoas,Dezembro,34,122008
2009,Alagoas,Dezembro,55,122009
2010,Alagoas,Dezembro,45,122010
2011,Alagoas,Dezembro,50,122011
2012,Alagoas,Dezembro,59,122012
2013,Alagoas,Dezembro,42,122013
2014,Alagoas,Dezembro,24,122014
2015,Alagoas,Dezembro,136,122015
2016,Alagoas,Dezembro,155,122016
1998,Amapá,Janeiro,0,011998
1999,Amapá,Janeiro,0,011999
2000,Amapá,Janeiro,2,012000
2001,Amapá,Janeiro,0,012001
2002,Amapá,Janeiro,7,012002
2003,Amapá,Janeiro,31,012003
2004,Amapá,Janeiro,38,012004
2005,Amapá,Janeiro,109,012005
2006,Amapá,Janeiro,6,012006
2007,Amapá,Janeiro,0,012007
2008,Amapá,Janeiro,2,012008
2009,Amapá,Janeiro,4,012009
2010,Amapá,Janeiro,2,012010
2011,Amapá,Janeiro,0,012011
2012,Amapá,Janeiro,30,012012
2013,Amapá,Janeiro,3,012013
2014,Amapá,Janeiro,10,012014
2015,Amapá,Janeiro,14,012015
2016,Amapá,Janeiro,19,012016
2017,Amapá,Janeiro,2,012017
1998,Amapá,Fevereiro,0,021998
1999,Amapá,Fevereiro,1,021999
2000,Amapá,Fevereiro,0,022000
2001,Amapá,Fevereiro,0,022001
2002,Amapá,Fevereiro,2,022002
2003,Amapá,Fevereiro,0,022003
2004,Amapá,Fevereiro,2,022004
2005,Amapá,Fevereiro,1,022005
2006,Amapá,Fevereiro,2,022006
2007,Amapá,Fevereiro,0,022007
2008,Amapá,Fevereiro,0,022008
2009,Amapá,Fevereiro,0,022009
2010,Amapá,Fevereiro,0,022010
2011,Amapá,Fevereiro,3,022011
2012,Amapá,Fevereiro,5,022012
2013,Amapá,Fevereiro,0,022013
2014,Amapá,Fevereiro,2,022014
2015,Amapá,Fevereiro,1,022015
2016,Amapá,Fevereiro,1,022016
2017,Amapá,Fevereiro,0,022017
1998,Amapá,Março,0,031998
1999,Amapá,Março,2,031999
2000,Amapá,Março,0,032000
2001,Amapá,Março,0,032001
2002,Amapá,Março,0,032002
2003,Amapá,Março,1,032003
2004,Amapá,Março,0,032004
2005,Amapá,Março,0,032005
2006,Amapá,Março,0,032006
2007,Amapá,Março,0,032007
2008,Amapá,Março,1,032008
2009,Amapá,Março,1,032009
2010,Amapá,Março,2,032010
2011,Amapá,Março,0,032011
2012,Amapá,Março,1,032012
2013,Amapá,Março,0,032013
2014,Amapá,Março,1,032014
2015,Amapá,Março,2,032015
2016,Amapá,Março,5,032016
2017,Amapá,Março,0,032017
1998,Amapá,Abril,0,041998
1999,Amapá,Abril,0,041999
2000,Amapá,Abril,0,042000
2001,Amapá,Abril,0,042001
2002,Amapá,Abril,0,042002
2003,Amapá,Abril,2,042003
2004,Amapá,Abril,0,042004
2005,Amapá,Abril,0,042005
2006,Amapá,Abril,0,042006
2007,Amapá,Abril,0,042007
2008,Amapá,Abril,2,042008
2009,Amapá,Abril,0,042009
2010,Amapá,Abril,2,042010
2011,Amapá,Abril,0,042011
2012,Amapá,Abril,2,042012
2013,Amapá,Abril,2,042013
2014,Amapá,Abril,0,042014
2015,Amapá,Abril,0,042015
2016,Amapá,Abril,0,042016
2017,Amapá,Abril,3,042017
1998,Amapá,Maio,0,051998
1999,Amapá,Maio,0,051999
2000,Amapá,Maio,0,052000
2001,Amapá,Maio,0,052001
2002,Amapá,Maio,3,052002
2003,Amapá,Maio,0,052003
2004,Amapá,Maio,0,052004
2005,Amapá,Maio,0,052005
2006,Amapá,Maio,0,052006
2007,Amapá,Maio,0,052007
2008,Amapá,Maio,0,052008
2009,Amapá,Maio,2,052009
2010,Amapá,Maio,2,052010
2011,Amapá,Maio,2,052011
2012,Amapá,Maio,2,052012
2013,Amapá,Maio,0,052013
2014,Amapá,Maio,0,052014
2015,Amapá,Maio,0,052015
2016,Amapá,Maio,1,052016
2017,Amapá,Maio,1,052017
1998,Amapá,Junho,0,061998
1999,Amapá,Junho,2,061999
2000,Amapá,Junho,0,062000
2001,Amapá,Junho,0,062001
2002,Amapá,Junho,0,062002
2003,Amapá,Junho,0,062003
2004,Amapá,Junho,5,062004
2005,Amapá,Junho,2,062005
2006,Amapá,Junho,0,062006
2007,Amapá,Junho,0,062007
2008,Amapá,Junho,0,062008
2009,Amapá,Junho,1,062009
2010,Amapá,Junho,0,062010
2011,Amapá,Junho,0,062011
2012,Amapá,Junho,7,062012
2013,Amapá,Junho,1,062013
2014,Amapá,Junho,0,062014
2015,Amapá,Junho,3,062015
2016,Amapá,Junho,2,062016
2017,Amapá,Junho,2,062017
1998,Amapá,Julho,0,071998
1999,Amapá,Julho,0,071999
2000,Amapá,Julho,0,072000
2001,Amapá,Julho,1,072001
2002,Amapá,Julho,1,072002
2003,Amapá,Julho,0,072003
2004,Amapá,Julho,2,072004
2005,Amapá,Julho,0,072005
2006,Amapá,Julho,0,072006
2007,Amapá,Julho,0,072007
2008,Amapá,Julho,0,072008
2009,Amapá,Julho,4,072009
2010,Amapá,Julho,2,072010
2011,Amapá,Julho,5,072011
2012,Amapá,Julho,3,072012
2013,Amapá,Julho,1,072013
2014,Amapá,Julho,4,072014
2015,Amapá,Julho,5,072015
2016,Amapá,Julho,1,072016
2017,Amapá,Julho,3,072017
1998,Amapá,Agosto,1,081998
1999,Amapá,Agosto,0,081999
2000,Amapá,Agosto,3,082000
2001,Amapá,Agosto,12,082001
2002,Amapá,Agosto,18,082002
2003,Amapá,Agosto,14,082003
2004,Amapá,Agosto,9,082004
2005,Amapá,Agosto,4,082005
2006,Amapá,Agosto,11,082006
2007,Amapá,Agosto,5,082007
2008,Amapá,Agosto,4,082008
2009,Amapá,Agosto,20,082009
2010,Amapá,Agosto,1,082010
2011,Amapá,Agosto,16,082011
2012,Amapá,Agosto,19,082012
2013,Amapá,Agosto,9,082013
2014,Amapá,Agosto,18,082014
2015,Amapá,Agosto,40,082015
2016,Amapá,Agosto,37,082016
2017,Amapá,Agosto,33,082017
1998,Amapá,Setembro,20,091998
1999,Amapá,Setembro,4,091999
2000,Amapá,Setembro,19,092000
2001,Amapá,Setembro,95,092001
2002,Amapá,Setembro,73,092002
2003,Amapá,Setembro,88,092003
2004,Amapá,Setembro,67,092004
2005,Amapá,Setembro,97,092005
2006,Amapá,Setembro,112,092006
2007,Amapá,Setembro,61,092007
2008,Amapá,Setembro,83,092008
2009,Amapá,Setembro,188,092009
2010,Amapá,Setembro,63,092010
2011,Amapá,Setembro,128,092011
2012,Amapá,Setembro,168,092012
2013,Amapá,Setembro,85,092013
2014,Amapá,Setembro,137,092014
2015,Amapá,Setembro,192,092015
2016,Amapá,Setembro,142,092016
2017,Amapá,Setembro,95,092017
1998,Amapá,Outubro,42,101998
1999,Amapá,Outubro,25,101999
2000,Amapá,Outubro,42,102000
2001,Amapá,Outubro,194,102001
2002,Amapá,Outubro,557,102002
2003,Amapá,Outubro,355,102003
2004,Amapá,Outubro,412,102004
2005,Amapá,Outubro,335,102005
2006,Amapá,Outubro,405,102006
2007,Amapá,Outubro,162,102007
2008,Amapá,Outubro,395,102008
2009,Amapá,Outubro,765,102009
2010,Amapá,Outubro,265,102010
2011,Amapá,Outubro,304,102011
2012,Amapá,Outubro,475,102012
2013,Amapá,Outubro,385,102013
2014,Amapá,Outubro,480,102014
2015,Amapá,Outubro,827,102015
2016,Amapá,Outubro,793,102016
2017,Amapá,Outubro,468,102017
1998,Amapá,Novembro,131,111998
1999,Amapá,Novembro,26,111999
2000,Amapá,Novembro,157,112000
2001,Amapá,Novembro,406,112001
2002,Amapá,Novembro,1096,112002
2003,Amapá,Novembro,750,112003
2004,Amapá,Novembro,949,112004
2005,Amapá,Novembro,685,112005
2006,Amapá,Novembro,207,112006
2007,Amapá,Novembro,198,112007
2008,Amapá,Novembro,266,112008
2009,Amapá,Novembro,1019,112009
2010,Amapá,Novembro,339,112010
2011,Amapá,Novembro,282,112011
2012,Amapá,Novembro,969,112012
2013,Amapá,Novembro,341,112013
2014,Amapá,Novembro,484,112014
2015,Amapá,Novembro,1300,112015
2016,Amapá,Novembro,1161,112016
2017,Amapá,Novembro,858,112017
1998,Amapá,Dezembro,84,121998
1999,Amapá,Dezembro,41,121999
2000,Amapá,Dezembro,30,122000
2001,Amapá,Dezembro,593,122001
2002,Amapá,Dezembro,200,122002
2003,Amapá,Dezembro,411,122003
2004,Amapá,Dezembro,777,122004
2005,Amapá,Dezembro,38,122005
2006,Amapá,Dezembro,74,122006
2007,Amapá,Dezembro,14,122007
2008,Amapá,Dezembro,32,122008
2009,Amapá,Dezembro,123,122009
2010,Amapá,Dezembro,43,122010
2011,Amapá,Dezembro,360,122011
2012,Amapá,Dezembro,422,122012
2013,Amapá,Dezembro,148,122013
2014,Amapá,Dezembro,354,122014
2015,Amapá,Dezembro,269,122015
2016,Amapá,Dezembro,491,122016
1998,Amazonas,Janeiro,0,011998
1999,Amazonas,Janeiro,3,011999
2000,Amazonas,Janeiro,7,012000
2001,Amazonas,Janeiro,3,012001
2002,Amazonas,Janeiro,17,012002
2003,Amazonas,Janeiro,158,012003
2004,Amazonas,Janeiro,123,012004
2005,Amazonas,Janeiro,44,012005
2006,Amazonas,Janeiro,20,012006
2007,Amazonas,Janeiro,37,012007
2008,Amazonas,Janeiro,16,012008
2009,Amazonas,Janeiro,9,012009
2010,Amazonas,Janeiro,82,012010
2011,Amazonas,Janeiro,53,012011
2012,Amazonas,Janeiro,6,012012
2013,Amazonas,Janeiro,37,012013
2014,Amazonas,Janeiro,46,012014
2015,Amazonas,Janeiro,35,012015
2016,Amazonas,Janeiro,770,012016
2017,Amazonas,Janeiro,65,012017
1998,Amazonas,Fevereiro,0,021998
1999,Amazonas,Fevereiro,43,021999
2000,Amazonas,Fevereiro,62,022000
2001,Amazonas,Fevereiro,8,022001
2002,Amazonas,Fevereiro,2,022002
2003,Amazonas,Fevereiro,62,022003
2004,Amazonas,Fevereiro,92,022004
2005,Amazonas,Fevereiro,6,022005
2006,Amazonas,Fevereiro,10,022006
2007,Amazonas,Fevereiro,92,022007
2008,Amazonas,Fevereiro,32,022008
2009,Amazonas,Fevereiro,3,022009
2010,Amazonas,Fevereiro,81,022010
2011,Amazonas,Fevereiro,30,022011
2012,Amazonas,Fevereiro,25,022012
2013,Amazonas,Fevereiro,16,022013
2014,Amazonas,Fevereiro,49,022014
2015,Amazonas,Fevereiro,107,022015
2016,Amazonas,Fevereiro,275,022016
2017,Amazonas,Fevereiro,52,022017
1998,Amazonas,Março,0,031998
1999,Amazonas,Março,7,031999
2000,Amazonas,Março,69,032000
2001,Amazonas,Março,6,032001
2002,Amazonas,Março,5,032002
2003,Amazonas,Março,64,032003
2004,Amazonas,Março,6,032004
2005,Amazonas,Março,12,032005
2006,Amazonas,Março,20,032006
2007,Amazonas,Março,6,032007
2008,Amazonas,Março,10,032008
2009,Amazonas,Março,11,032009
2010,Amazonas,Março,116,032010
2011,Amazonas,Março,49,032011
2012,Amazonas,Março,17,032012
2013,Amazonas,Março,49,032013
2014,Amazonas,Março,50,032014
2015,Amazonas,Março,46,032015
2016,Amazonas,Março,140,032016
